,carID,brand,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,car_age
35,53282,toyota,yaris,16995,manual,1225,petrol,145.0,47.9,1.5,77,0,0.0,
36,62793,opel,corsa,9795,manual,14787,petrol,145.0,43.5,1.4,90,3,0.0,1
37,64396,opel,astra,6995,,,diesel,0.0,78.5,1.6,61,2,0.0,5
38,4745,audi,tt,29485,automatic,3000,petrol,145.0,40.9,2.0,91,2,0.0,1
39,67795,vw,golf,21995,semi-auto,16998,petrol,145.0,43.5,1.5,71,1,0.0,1
40,10138,bmw,5 series,27780,semi-auto,12182,diesel,145.0,65.7,2.0,35,1,0.0,1
41,63398,opel,astra,12000,manual,16207,petrol,125.0,51.4,1.4,44,1,0.0,3
42,13940,bmw,3 series,32995,semi-auto,1501,diesel,145.0,50.4,2.0,77,0,0.0,0
43,19811,ford,focus,17990,automatic,3289,diesel,,,1.5,38,1,0.0,1
44,68423,vw,polo,10328,,26941,petrol,145.0,60.1,1.2,97,4,0.0,
45,52583,toyota,aygo,7985,automatic,14949,petrol,150.0,67.0,1.0,69,0,0.0,2
46,39517,mercedes,a class,19424,manual,8276,petrol,145.0,28.5,1.3,64,0,0.0,1
47,47887,skoda,fabia,11990,,835,petrol,145.0,47.1,1.0,55,3,0.0,0
48,11097,bmw,4 series,36999,automatic,3500,diesel,145.0,50.4,3.0,46,3,0.0,1
49,38637,mercedes,c class,30999,automatic,1000,diesel,145.0,64.2,2.0,61,4,0.0,0
50,61006,opel,corsa,9995,manual,4366,petrol,150.0,43.5,0.7,66,3,0.0,1
51,10585,bmw,2 series,20981,manual,15674,petrol,150.0,47.1,1.5,90,2,0.0,2
52,36529,mercedes,a class,17250,automatic,16031,diesel,150.0,74.3,1.5,82,2,0.0,2
53,22845,ford,focus,9299,manual,39904,petrol,20.0,61.4,1.0,41,4,0.0,3
54,37143,mercedes,slk,10995,automatic,40000,petrol,200.0,43.5,1.8,41,2,0.0,9
55,59782,opel,viva,6100,manual,24285,petrol,20.0,62.8,1.0,81,0,0.0,4
56,66591,vw,t roc,23000,semi-auto,584,petrol,150.0,41.5,2.0,79,1,0.0,2
57,20716,ford,focus,13549,manual,42322,diesel,,,2.0,35,2,0.0,5
58,49313,skoda,fabia,13990,manual,3560,petrol,145.0,52.3,1.0,50,0,0.0,0
59,25630,ford,ka+,8500,manual,6785,petrol,,47.9,1.2,55,4,0.0,2
60,30275,ford,ecosport,9990,manual,14398,petrol,125.0,53.3,1.0,87,0,0.0,4
61,32491,hyundai,tucson,12556,manual,20443,petrol,145.0,44.8,1.6,63,4,0.0,2
62,46419,mercedes,a class,26500,semi-auto,3500,diesel,150.0,56.5,2.0,64,3,,0
63,20315,ford,ecosport,14650,manual,8200,petrol,145.0,51.4,1.0,51,0,0.0,2
64,30317,ford,,9999,manual,10000,petrol,145.0,47.9,,61,3,0.0,1
65,46368,mercedes,c class,26748,automatic,17970,diesel,,,2.1,77,1,0.0,2
66,41358,mercedes,x class,29490,automatic,5000,diesel,250.0,35.8,2.3,60,3,0.0,2
67,54783,toyota,yaris,10490,automatic,34528,hybrid,0.0,80.7,1.5,79,1,0.0,6
68,44188,mercedes,cl class,27990,semi-auto,999,petrol,145.0,44.8,1.3,72,3,0.0,0
69,8169,bmw,5 series,36875,semi-auto,10,diesel,145.0,53.3,3.0,34,0,0.0,1
70,32234,hyundai,ix20,8499,manual,9870,petrol,125.0,50.4,1.4,55,3,0.0,3
71,31963,hyundai,i20,6499,manual,48072,petrol,30.0,,1.2,88,1,0.0,5
72,47148,skoda,rapid,7991,manual,33395,diesel,0.0,67.3,1.6,,3,0.0,4
73,68669,vw,golf,13750,manual,19398,petrol,30.0,53.3,1.4,43,4,0.0,3
74,6762,audi,a1,16000,semi-auto,25470,petrol,30.0,,1.4,61,0,0.0,4
75,5034,audi,a3,11871,manual,52519,diesel,20.0,72.4,1.6,60,2,0.0,4
76,19051,ford,fiesta,6500,manual,43181,petrol,0.0,65.7,1.0,88,0,0.0,7
77,18960,ford,fiesta,5991,manual,61292,petrol,0.0,65.7,1.0,31,2,0.0,5
78,53296,toyota,auris,6095,manual,55707,diesel,20.0,67.3,1.4,94,1,0.0,7
79,71770,vw,sharan,21779,manual,14020,diesel,150.0,43.5,2.0,43,2,0.0,1
80,49016,skoda,fabia,7995,manual,32456,petrol,20.0,60.1,1.2,47,0,0.0,4
81,33153,hyundai,i20,13966,manual,3500,petrol,145.0,47.9,1.0,41,2,0.0,0
82,57878,opel,adam,9995,manual,9,petrol,145.0,44.8,1.2,51,4,0.0,1
83,41441,mercedes,a class,13500,manual,,diesel,150.0,72.4,1.5,32,2,0.0,3
84,74019,vw,golf,12965,manual,32000,petrol,150.0,54.3,1.4,97,0,0.0,3
85,38443,mercedes,c class,37500,semi-auto,10261,petrol,,,3.0,74,3,0.0,1
86,27368,ford,fiesta,5699,manual,50577,petrol,125.0,54.3,1.2,33,0,0.0,5
87,65702,vw,passat,31799,semi-auto,4845,diesel,145.0,37.2,2.0,45,1,0.0,1
88,10359,bmw,x3,31196,automatic,10155,diesel,145.0,54.3,2.0,96,3,0.0,1
89,28739,ford,,7099,manual,74176,diesel,,,1.5,84,2,,5
90,71982,vw,golf,25499,semi-auto,7210,diesel,145.0,49.6,2.0,40,1,0.0,1
91,45193,mercedes,e class,26995,automatic,7475,petrol,145.0,42.2,2.0,70,2,0.0,1
92,35726,mercedes,c class,25092,automatic,86706,diesel,,,2.1,68,2,0.0,3
93,18282,ford,ecosport,9815,manual,20000,petrol,145.0,52.3,1.0,45,1,0.0,3
94,831,audi,a8,38995,automatic,3338,,145.0,,3.0,84,0,0.0,3
95,33940,hyundai,i20,9995,automatic,19595,petrol,145.0,45.6,1.4,86,1,0.0,3
96,22269,ford,fiesta,8930,,,petrol,145.0,54.3,1.2,97,0,0.0,3
97,26899,ford,focus,9699,manual,47843,petrol,145.0,60.1,1.0,92,2,0.0,3
98,40702,mercedes,gls class,67600,automatic,2010,diesel,145.0,34.0,3.0,52,0,0.0,1
99,25484,ford,b max,9498,manual,14853,diesel,0.0,74.4,1.5,,1,0.0,4
100,45233,mercedes,e class,15999,semi-auto,25787,diesel,125.0,,2.1,46,2,0.0,5
101,41801,mercedes,c class,49499,semi-auto,1000,petrol,145.0,29.1,3.0,,2,0.0,1
102,1520,audi,a4,28000,automatic,3838,petrol,145.0,40.9,2.0,57,4,0.0,1
103,32416,hyundai,kona,15498,manual,15,petrol,145.0,44.1,1.0,39,3,0.0,1
104,34065,hyundai,i10,8690,manual,2362,petrol,145.0,60.1,1.0,42,0,0.0,1
105,6409,audi,a1,10999,manual,,diesel,0.0,76.3,1.6,97,3,0.0,4
106,15878,ford,fiesta,15000,manual,22006,petrol,145.0,40.3,1.5,54,1,0.0,2
107,48309,skoda,fabia,7995,manual,36200,petrol,20.0,60.1,1.2,32,2,0.0,3
108,27234,ford,fiesta,8700,manual,10313,petrol,145.0,64.2,1.1,73,3,0.0,3
109,64964,opel,mokka,10500,manual,10481,petrol,200.0,40.9,1.6,86,0,0.0,4
110,30833,ford,fiesta,11795,manual,14713,petrol,20.0,62.8,1.0,96,3,0.0,3
111,37642,mercedes,glc class,23490,semi-auto,33622,diesel,125.0,56.5,2.1,81,0,0.0,4
112,63861,opel,corsa,9994,manual,1042,petrol,145.0,43.5,1.4,78,0,0.0,1
113,25640,ford,fiesta,9980,manual,8770,petrol,150.0,64.2,1.1,41,4,0.0,2
114,64434,opel,adam,8494,manual,17412,petrol,150.0,52.3,1.4,37,2,0.0,3
115,5924,audi,a3,17995,manual,7062,diesel,145.0,49.6,1.6,38,0,0.0,1
116,20882,ford,focus,17498,automatic,13743,petrol,150.0,51.4,1.0,65,3,0.0,1
117,16700,ford,s max,15800,manual,29246,diesel,125.0,56.5,2.0,34,4,0.0,4
118,7725,bmw,x2,23633,manual,,diesel,145.0,53.3,2.0,97,2,0.0,1
119,69932,vw,golf,19950,semi-auto,3500,diesel,145.0,52.3,2.0,61,0,0.0,1
120,19737,ford,focus,15360,manual,10567,petrol,145.0,58.9,1.0,73,1,0.0,1
121,71082,vw,polo,12900,manual,1500,petrol,145.0,60.1,1.0,75,1,0.0,2
122,32428,hyundai,i30,14990,,1247,petrol,145.0,45.6,1.0,82,0,0.0,1
123,8909,bmw,x3,20000,,34334,diesel,150.0,54.3,2.0,94,0,0.0,4
124,55579,toyota,yaris,11280,manual,6065,petrol,145.0,47.9,1.5,,0,0.0,1
125,57379,opel,crossland x,13498,manual,3056,petrol,145.0,47.1,1.2,75,4,0.0,1
126,71677,vw,tiguan,29999,semi-auto,669,diesel,145.0,39.8,2.0,42,,0.0,1
127,60798,opel,mokka x,13995,semi-auto,5149,petrol,160.0,43.5,1.4,71,3,0.0,3
128,15550,ford,fiesta,9500,manual,14879,petrol,0.0,65.7,1.0,97,1,0.0,4
129,45954,mercedes,e class,28200,semi-auto,13615,diesel,145.0,58.9,2.0,93,2,0.0,1
130,3802,audi,a5,26990,automatic,9000,petrol,145.0,39.8,2.0,89,3,0.0,1
131,63868,opel,,8695,manual,39460,petrol,125.0,50.4,1.4,99,1,0.0,4
132,18144,ford,focus,15490,manual,12900,petrol,145.0,60.1,1.0,86,4,0.0,2
133,54844,toyota,aygo,7299,manual,48238,petrol,0.0,68.9,,80,0,0.0,3
134,71193,vw,polo,12990,manual,11866,petrol,150.0,48.7,1.0,47,2,0.0,1
135,39488,mercedes,gle class,29480,semi-auto,27252,diesel,145.0,42.8,3.0,97,0,0.0,3
136,57173,opel,corsa,7200,manual,42483,petrol,30.0,55.4,1.4,30,2,0.0,4
137,31898,hyundai,i10,8995,semi-auto,23000,petrol,145.0,47.9,1.2,87,1,0.0,3
138,23205,ford,fiesta,14899,manual,9063,petrol,145.0,58.9,1.0,54,1,0.0,1
139,71648,vw,golf,9883,manual,25724,diesel,0.0,68.9,1.6,85,2,0.0,5
140,62298,opel,mokka,9650,manual,22009,diesel,20.0,68.9,1.6,36,4,0.0,4
141,35514,mercedes,c class,22998,semi-auto,18739,diesel,,,2.1,66,0,0.0,2
142,28165,ford,focus,7300,manual,,diesel,20.0,67.3,1.6,96,3,0.0,7
143,56108,opel,mokka x,11540,manual,32810,petrol,145.0,47.1,1.4,64,0,0.0,2
144,56260,opel,zafira,14495,automatic,1000,petrol,200.0,40.9,1.4,81,2,0.0,3
145,16022,ford,b max,9998,manual,6997,petrol,150.0,47.1,1.4,80,0,0.0,3
146,69616,vw,passat,23790,semi-auto,5831,petrol,145.0,40.4,2.0,86,3,0.0,1
147,55572,toyota,aygo,10195,manual,2114,petrol,145.0,57.7,1.0,,4,0.0,1
148,32318,hyundai,i30,7698,manual,35259,diesel,0.0,78.4,1.6,90,2,0.0,5
149,31084,ford,ka+,7600,manual,22199,petrol,145.0,57.7,1.2,74,0,0.0,2
150,33625,hyundai,ioniq,17795,automatic,,hybrid,135.0,78.5,1.6,54,0,0.0,3
151,68476,vw,polo,9765,manual,39913,diesel,0.0,83.1,1.4,70,3,0.0,3
152,71503,vw,tiguan,11990,manual,58874,diesel,145.0,53.3,2.0,30,0,0.0,4
153,18304,ford,,9632,manual,18814,petrol,20.0,62.8,1.0,74,,0.0,4
154,24628,ford,focus,14500,automatic,22587,petrol,,,1.0,69,4,0.0,2
155,12492,bmw,5 series,26350,semi-auto,9334,diesel,145.0,65.7,2.0,50,4,0.0,1
156,16873,ford,fiesta,12850,manual,5,petrol,145.0,48.7,1.1,39,4,0.0,1
157,15147,ford,s max,14120,manual,42750,diesel,125.0,56.5,2.0,70,2,0.0,4
158,67275,vw,passat,18900,manual,18000,diesel,145.0,68.9,2.0,44,4,0.0,2
159,26249,ford,fiesta,8242,manual,21211,petrol,0.0,65.7,1.0,71,4,0.0,3
160,55024,toyota,yaris,10795,,12091,petrol,145.0,58.9,1.5,36,0,0.0,3
161,17746,ford,focus,6999,manual,41633,petrol,,,1.0,54,1,0.0,6
162,6010,audi,a6,29896,semi-auto,3411,diesel,145.0,47.9,2.0,31,2,0.0,1
163,29117,ford,mondeo,15250,manual,19652,diesel,30.0,62.8,2.0,80,0,0.0,3
164,37454,mercedes,c class,25249,semi-auto,1729,petrol,145.0,45.6,1.5,59,0,0.0,1
165,69708,vw,polo,19950,semi-auto,2000,petrol,150.0,46.3,1.0,55,3,0.0,0
166,10205,bmw,3 series,10399,manual,47059,diesel,,61.4,2.0,69,3,0.0,6
167,23761,ford,focus,11490,,45000,diesel,,,2.0,62,1,0.0,5
168,46204,mercedes,c class,66699,semi-auto,630,petrol,,28.5,4.0,32,2,0.0,1
169,48361,skoda,yeti outdoor,11495,semi-auto,28600,petrol,,51.4,1.2,31,3,0.0,4
170,17284,ford,focus,15690,manual,10000,diesel,,,1.5,80,0,0.0,1
171,15717,ford,fiesta,10491,manual,6522,petrol,145.0,65.7,1.0,125,3,0.0,2
172,68520,vw,polo,11699,manual,27500,petrol,150.0,65.7,1.0,55,4,0.0,3
173,27210,ford,focus,6295,manual,68000,diesel,,,1.6,,4,0.0,8
174,11384,bmw,x1,18500,automatic,27000,diesel,145.0,55.4,2.0,38,3,0.0,4
175,68060,vw,polo,12995,manual,2643,petrol,145.0,52.3,1.0,81,2,0.0,1
176,45338,mercedes,cl class,54995,semi-auto,,petrol,145.0,33.2,2.0,61,4,0.0,0
177,3886,audi,q3,14290,automatic,18693,diesel,145.0,55.4,2.0,3,1,0.0,5
178,49397,skoda,fabia,14257,manual,2777,petrol,150.0,51.4,1.0,43,0,0.0,0
179,2888,audi,tt,17700,manual,33538,diesel,30.0,61.4,2.0,82,2,0.0,4
180,74010,vw,polo,12998,manual,9790,petrol,150.0,48.7,1.0,38,0,0.0,1
181,31112,ford,focus,30359,manual,2068,petrol,,,2.3,96,3,0.0,1
182,49731,skoda,octavia,11990,manual,35650,,30.0,55.4,1.4,68,3,0.0,
183,44665,mercedes,a class,22995,semi-auto,10231,petrol,145.0,53.3,1.3,67,3,0.0,1
184,36961,mercedes,c class,38349,semi-auto,22000,petrol,300.0,34.5,4.0,96,1,0.0,4
185,70234,vw,t roc,27490,manual,3001,petrol,145.0,42.2,1.5,83,2,0.0,0
186,65285,opel,,6999,manual,45367,petrol,30.0,55.4,1.4,41,2,0.0,4
187,3855,audi,a5,30000,semi-auto,1000,diesel,145.0,50.4,2.0,79,0,0.0,0
188,45374,mercedes,c class,32998,semi-auto,4500,petrol,145.0,42.2,2.0,60,3,0.0,1
189,74719,vw,golf,17298,manual,8452,petrol,145.0,47.1,1.5,61,1,0.0,1
190,20346,ford,focus,12750,manual,3640,petrol,,,1.0,90,4,0.0,3
191,66712,vw,polo,8650,manual,32800,petrol,20.0,60.1,1.0,54,4,0.0,4
192,38604,mercedes,e class,34980,semi-auto,4196,diesel,145.0,70.6,2.0,44,1,0.0,
193,3425,audi,q3,13895,automatic,42000,diesel,205.0,47.9,2.0,70,0,0.0,7
194,11200,bmw,4 series,23591,semi-auto,6100,petrol,145.0,45.6,2.0,126,2,0.0,1
195,20589,ford,fiesta,11998,manual,8966,petrol,145.0,65.7,1.0,66,0,0.0,3
196,6916,audi,a4,14650,manual,40583,petrol,,51.4,1.4,36,0,0.0,3
197,57086,opel,insignia,7695,manual,51840,diesel,0.0,74.3,,76,2,0.0,3
198,49135,skoda,scala,17000,manual,731,petrol,150.0,50.4,1.0,88,,0.0,0
199,34990,mercedes,s class,36890,automatic,22657,hybrid,20.0,61.4,2.1,54,4,0.0,3
200,21923,ford,fiesta,10940,automatic,14260,petrol,0.0,57.7,1.0,99,1,0.0,4
201,12495,bmw,1 series,14495,,20031,petrol,30.0,58.9,1.5,81,4,0.0,3
202,42777,mercedes,c class,32995,automatic,10750,petrol,260.0,35.3,3.0,54,1,0.0,3
203,37446,mercedes,c class,27099,semi-auto,1059,petrol,145.0,45.6,1.5,87,,0.0,1
204,16261,ford,focus,13350,semi-auto,8207,petrol,,,1.0,48,2,0.0,2
205,59815,opel,mokka,8998,manual,30590,diesel,20.0,68.9,1.6,3,1,0.0,5
206,7780,bmw,1 series,12300,automatic,32694,diesel,20.0,72.4,1.5,73,1,0.0,5
207,48264,skoda,yeti outdoor,14799,manual,13936,petrol,145.0,51.4,1.2,75,0,0.0,3
208,45681,mercedes,c class,24950,automatic,7006,petrol,145.0,47.1,1.5,56,3,0.0,1
209,70925,vw,up!,8600,manual,3980,petrol,145.0,54.3,1.0,65,1,0.0,2
210,47979,skoda,kamiq,21999,manual,2000,petrol,145.0,47.1,1.0,83,0,0.0,1
211,44984,mercedes,c class,28900,automatic,11530,diesel,145.0,57.7,2.0,49,1,0.0,1
212,69473,vw,t roc,22795,,4852,diesel,150.0,50.4,1.6,45,2,0.0,1
213,46179,mercedes,c class,19980,semi-auto,29198,diesel,,,2.1,95,0,0.0,3
214,43627,mercedes,a class,21990,,120,diesel,145.0,56.5,2.0,49,1,0.0,1
215,71019,vw,golf,22105,semi-auto,4924,petrol,145.0,43.5,1.5,68,1,0.0,1
216,20770,ford,kuga,16950,manual,3376,diesel,145.0,54.3,1.5,68,1,0.0,
217,17973,ford,tourneo connect,10998,manual,16310,petrol,125.0,50.4,1.0,31,1,0.0,3
218,70276,vw,golf,11250,manual,32043,petrol,30.0,53.3,1.4,69,0,0.0,4
219,1768,audi,q3,35990,semi-auto,6000,diesel,145.0,47.1,2.0,48,,,0
220,9393,bmw,2 series,17950,manual,3387,petrol,145.0,42.2,1.5,73,0,0.0,1
221,1272,audi,q7,53990,semi-auto,30427,,145.0,39.2,4.0,78,1,0.0,3
222,37812,mercedes,e class,17165,automatic,36959,diesel,150.0,53.3,3.0,53,0,0.0,
223,5047,audi,a6,24990,automatic,47750,diesel,160.0,52.3,3.0,69,2,0.0,4
224,35140,mercedes,gla class,24999,semi-auto,1000,diesel,145.0,64.2,2.1,70,3,0.0,1
225,45701,mercedes,c class,17100,automatic,21388,diesel,30.0,64.2,2.1,93,0,0.0,3
226,65459,vw,polo,7990,manual,45055,petrol,20.0,60.1,1.0,66,4,0.0,4
227,18938,ford,s max,21000,semi-auto,28167,diesel,160.0,51.4,2.0,34,4,0.0,3
228,29130,ford,ecosport,12500,manual,10000,petrol,150.0,53.3,1.0,75,3,0.0,2
229,28075,ford,fiesta,12750,manual,3445,petrol,145.0,56.5,1.0,50,2,0.0,2
230,56421,opel,astra,12990,semi-auto,7177,petrol,145.0,51.4,1.4,54,2,0.0,2
231,23515,ford,fiesta,10500,manual,8363,petrol,145.0,58.9,1.0,94,3,0.0,2
232,21100,ford,focus,17470,manual,1120,petrol,,,1.0,68,4,0.0,1
233,71928,vw,polo,10888,manual,12960,petrol,0.0,65.7,1.0,49,2,0.0,3
234,58183,opel,mokka x,10299,manual,24861,petrol,200.0,42.2,1.6,49,1,0.0,3
235,61737,opel,astra,15690,manual,100,petrol,145.0,,1.2,47,4,0.0,0
236,67345,vw,golf,32995,semi-auto,2131,petrol,145.0,32.8,2.0,48,3,0.0,0
237,21412,ford,kuga,13500,manual,23393,diesel,145.0,54.3,1.5,65,3,0.0,2
238,14608,bmw,3 series,43995,semi-auto,2252,petrol,145.0,34.9,3.0,86,4,0.0,0
239,71915,vw,golf,15561,manual,34535,petrol,145.0,55.4,1.5,35,0,0.0,2
240,33860,hyundai,tucson,14600,manual,30165,diesel,30.0,61.7,1.7,55,4,,3
241,73298,vw,arteon,27550,semi-auto,3797,diesel,145.0,44.1,2.0,77,2,0.0,1
242,22915,ford,focus,16395,manual,11594,diesel,,,1.5,90,2,0.0,1
243,67850,vw,polo,14160,semi-auto,10031,petrol,145.0,45.6,1.0,51,,0.0,1
244,56034,opel,corsa,12995,automatic,1786,petrol,145.0,39.8,1.4,51,4,0.0,2
245,22906,ford,mondeo,9999,manual,64447,petrol,145.0,48.7,1.5,73,,0.0,3
246,40019,mercedes,gla class,18980,semi-auto,35585,diesel,125.0,55.4,2.1,92,3,0.0,5
247,23803,ford,focus,13000,manual,12456,petrol,,,1.0,48,3,0.0,3
248,72085,vw,arteon,28995,semi-auto,3438,diesel,145.0,50.4,2.0,44,1,0.0,1
249,35089,mercedes,e class,20849,automatic,14021,diesel,326.028233171514,65.7,2.0,96,3,0.0,
250,39503,mercedes,glc class,25998,,,diesel,125.0,56.5,2.1,53,1,0.0,3
251,39275,mercedes,e class,11295,automatic,81200,diesel,125.0,57.7,2.1,85,2,0.0,7
252,22177,ford,fiesta,16599,semi-auto,4803,petrol,145.0,48.7,1.0,40,1,0.0,1
253,35220,mercedes,slk,3650,automatic,58500,petrol,325.0,30.0,2.3,45,4,0.0,17
254,18434,ford,fiesta,14960,manual,3599,petrol,145.0,60.1,1.0,74,2,0.0,1
255,58572,opel,mokka x,10495,manual,31248,petrol,150.0,47.1,1.4,85,2,0.0,3
256,72381,vw,polo,12750,manual,14150,petrol,145.0,64.2,3.0,57,3,0.0,2
257,1736,audi,q5,36202,automatic,1000,diesel,145.0,39.2,2.0,51,2,0.0,1
258,45300,mercedes,gla class,23299,,7727,diesel,145.0,67.3,2.1,31,1,0.0,1
259,36753,mercedes,sl class,18990,automatic,21490,,145.0,70.6,2.1,84,6,0.0,3
260,57127,opel,corsa,7190,manual,9574,petrol,30.0,55.4,1.4,78,1,0.0,3
261,66949,vw,polo,10291,manual,23160,petrol,145.0,60.1,1.0,60,0,0.0,3
262,71321,vw,golf,22000,automatic,28385,hybrid,135.0,156.9,1.4,49,3,0.0,3
263,58293,opel,corsa,16998,manual,10,petrol,145.0,52.3,1.2,60,0,0.0,0
264,65476,vw,golf,16850,automatic,37000,diesel,30.0,62.8,2.0,63,2,0.0,4
265,33638,hyundai,tucson,22000,semi-auto,5000,petrol,150.0,36.2,1.6,3,4,0.0,1
266,60991,opel,mokka x,12290,semi-auto,23677,petrol,160.0,43.5,1.4,86,0,0.0,
267,53008,toyota,yaris,7350,manual,55104,petrol,30.0,58.0,1.3,87,0,0.0,3
268,70615,vw,tiguan,25000,manual,,petrol,145.0,38.2,1.5,89,3,0.0,0
269,13136,bmw,2 series,21920,semi-auto,7060,diesel,145.0,49.6,2.0,36,2,0.0,1
270,70418,vw,golf,16898,manual,24180,diesel,20.0,67.3,,83,1,0.0,4
271,8378,bmw,1 series,25999,semi-auto,575,diesel,145.0,,2.0,87,1,0.0,1
272,53403,toyota,aygo,7995,manual,25300,,0.0,69.0,1.0,126,1,0.0,4
273,35933,mercedes,c class,20980,semi-auto,15933,petrol,145.0,44.1,1.5,83,0,0.0,1
274,22777,ford,kuga,10990,manual,32974,diesel,150.0,64.2,1.5,94,0,0.0,3
275,679,audi,a3,22910,automatic,6650,petrol,145.0,44.1,1.5,52,0,0.0,1
276,53877,toyota,aygo,10195,manual,6929,petrol,145.0,56.5,1.0,42,4,0.0,1
277,60267,opel,insignia,12985,manual,29557,diesel,145.0,70.6,1.6,30,4,0.0,2
278,5882,audi,a6,52500,semi-auto,2000,diesel,145.0,50.4,2.0,77,1,0.0,0
279,25039,ford,fiesta,5980,manual,69043,petrol,0.0,65.7,1.0,79,2,0.0,5
280,70461,vw,polo,10200,manual,24609,petrol,20.0,60.1,1.2,38,0,0.0,3
281,11673,bmw,4 series,24995,semi-auto,13543,diesel,160.0,50.4,3.0,66,4,0.0,3
282,23718,ford,focus,15260,manual,11301,petrol,,,1.0,75,0,0.0,1
283,74708,vw,polo,12500,semi-auto,19000,petrol,20.0,60.1,1.2,64,2,0.0,4
284,43529,mercedes,c class,25780,semi-auto,,diesel,,,2.0,72,3,0.0,1
285,34193,hyundai,santa fe,18491,manual,34284,diesel,200.0,47.1,2.2,53,2,0.0,4
286,50350,skoda,octavia,16500,manual,28518,diesel,30.0,62.8,2.0,72,4,0.0,3
287,41685,mercedes,c class,41699,semi-auto,7400,petrol,,,3.0,36,0,0.0,1
288,59667,opel,corsa,9499,manual,18656,petrol,145.0,54.3,1.4,,3,0.0,3
289,71010,vw,golf,13995,manual,22000,petrol,145.0,55.4,1.5,50,0,0.0,2
290,56511,opel,grandland x,17060,automatic,13991,diesel,145.0,57.7,1.5,78,0,0.0,1
291,18285,ford,focus,8498,manual,22811,petrol,20.0,60.1,1.0,76,3,0.0,5
292,63823,opel,crossland x,16690,manual,2477,diesel,145.0,61.4,1.5,69,1,0.0,1
293,35908,mercedes,c class,28799,semi-auto,12030,petrol,,,1.5,47,0,0.0,1
294,72571,vw,t roc,18995,manual,15307,petrol,145.0,53.3,1.5,98,4,0.0,2
